Category: All categories

Week,College Football Playoff: (United States)
2019-01-06,19
2019-01-13,2
2019-01-20,1
2019-01-27,1
2019-02-03,1
2019-02-10,1
2019-02-17,<1
2019-02-24,<1
2019-03-03,<1
2019-03-10,1
2019-03-17,1
2019-03-24,2
2019-03-31,1
2019-04-07,1
2019-04-14,<1
2019-04-21,1
2019-04-28,1
2019-05-05,<1
2019-05-12,1
2019-05-19,1
2019-05-26,<1
2019-06-02,1
2019-06-09,<1
2019-06-16,<1
2019-06-23,1
2019-06-30,<1
2019-07-07,1
2019-07-14,1
2019-07-21,1
2019-07-28,1
2019-08-04,1
2019-08-11,1
2019-08-18,1
2019-08-25,2
2019-09-01,2
2019-09-08,2
2019-09-15,2
2019-09-22,3
2019-09-29,3
2019-10-06,3
2019-10-13,6
2019-10-20,6
2019-10-27,8
2019-11-03,43
2019-11-10,56
2019-11-17,28
2019-11-24,34
2019-12-01,65
2019-12-08,100
2019-12-15,20
2019-12-22,61
2019-12-29,53
