Week,interest
2019-01-06,0
2019-01-13,0
2019-01-20,<1
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,<1
2019-03-10,0
2019-03-17,0
2019-03-24,<1
2019-03-31,0
2019-04-07,<1
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,<1
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,<1
2019-06-16,<1
2019-06-23,0
2019-06-30,<1
2019-07-07,23
2019-07-14,50
2019-07-21,4
2019-07-28,3
2019-08-04,2
2019-08-11,2
2019-08-18,2
2019-08-25,2
2019-09-01,3
2019-09-08,5
2019-09-15,100
2019-09-22,11
2019-09-29,1
2019-10-06,1
2019-10-13,1
2019-10-20,1
2019-10-27,<1
2019-11-03,<1
2019-11-10,<1
2019-11-17,<1
2019-11-24,<1
2019-12-01,<1
2019-12-08,<1
2019-12-15,<1
2019-12-22,<1
2019-12-29,<1
