Week,interest
2019-01-06,5
2019-01-13,5
2019-01-20,4
2019-01-27,5
2019-02-03,5
2019-02-10,4
2019-02-17,4
2019-02-24,4
2019-03-03,4
2019-03-10,4
2019-03-17,4
2019-03-24,4
2019-03-31,4
2019-04-07,5
2019-04-14,5
2019-04-21,5
2019-04-28,5
2019-05-05,5
2019-05-12,5
2019-05-19,5
2019-05-26,6
2019-06-02,6
2019-06-09,9
2019-06-16,6
2019-06-23,5
2019-06-30,5
2019-07-07,5
2019-07-14,5
2019-07-21,6
2019-07-28,6
2019-08-04,5
2019-08-11,5
2019-08-18,5
2019-08-25,4
2019-09-01,5
2019-09-08,5
2019-09-15,3
2019-09-22,3
2019-09-29,3
2019-10-06,32
2019-10-13,11
2019-10-20,24
2019-10-27,100
2019-11-03,18
2019-11-10,7
2019-11-17,5
2019-11-24,4
2019-12-01,4
2019-12-08,2
2019-12-15,2
2019-12-22,2
2019-12-29,2
