Week,interest
2019-01-06,1
2019-01-13,2
2019-01-20,1
2019-01-27,<1
2019-02-03,<1
2019-02-10,1
2019-02-17,3
2019-02-24,3
2019-03-03,3
2019-03-10,4
2019-03-17,36
2019-03-24,53
2019-03-31,9
2019-04-07,5
2019-04-14,100
2019-04-21,27
2019-04-28,13
2019-05-05,11
2019-05-12,5
2019-05-19,6
2019-05-26,17
2019-06-02,6
2019-06-09,5
2019-06-16,3
2019-06-23,6
2019-06-30,2
2019-07-07,3
2019-07-14,3
2019-07-21,19
2019-07-28,2
2019-08-04,1
2019-08-11,1
2019-08-18,1
2019-08-25,1
2019-09-01,<1
2019-09-08,<1
2019-09-15,1
2019-09-22,1
2019-09-29,1
2019-10-06,1
2019-10-13,1
2019-10-20,1
2019-10-27,1
2019-11-03,1
2019-11-10,1
2019-11-17,1
2019-11-24,<1
2019-12-01,1
2019-12-08,1
2019-12-15,1
2019-12-22,<1
2019-12-29,<1
