geoName,interest,date,lat,long,city
Sacramento California United States of America,100,2019-03-04,38.5815719,-121.4943996,Sacramento 
Abilene Texas United States of America,29,2019-03-11,32.44645,-99.7475905,Abilene 
Albany Georgia United States of America,21,2019-03-11,31.5782062,-84.1556809,Albany 
Albany New York United States of America,31,2019-03-11,42.6511674,-73.754968,Albany 
Albuquerque New Mexico United States of America,32,2019-03-11,35.0841034,-106.6509851,Albuquerque 
Amarillo Texas United States of America,16,2019-03-11,35.2072185,-101.8338246,Amarillo 
Anchorage Alaska United States of America,24,2019-03-11,61.2163129,-149.8948523,Anchorage 
Atlanta Georgia United States of America,23,2019-03-11,33.7490987,-84.3901849,Atlanta 
Augusta Georgia United States of America,40,2019-03-11,33.4709714,-81.9748429,Augusta 
Austin Texas United States of America,24,2019-03-11,30.2711286,-97.7436995,Austin 
Bakersfield California United States of America,10,2019-03-11,35.3738712,-119.0194639,Bakersfield 
Baltimore Maryland United States of America,23,2019-03-11,39.2908816,-76.610759,Baltimore 
Bangor Maine United States of America,39,2019-03-11,44.8011821,-68.7778138,Bangor 
Baton Rouge Louisiana United States of America,19,2019-03-11,30.4459596,-91.18738,Baton Rouge 
Beaumont Texas United States of America,28,2019-03-11,30.0860459,-94.1018461,Beaumont 
Bend Oregon United States of America,29,2019-03-11,44.0581728,-121.3153096,Bend 
"Billings, Montana United States of America",27,2019-03-11,45.7874957,-108.49607,"Billings, "
Biloxi Mississippi United States of America,32,2019-03-11,30.374673,-88.84594333482862,Biloxi 
Binghamton New York United States of America,20,2019-03-11,42.096968,-75.914341,Binghamton 
Birmingham Alabama United States of America,21,2019-03-11,33.5206824,-86.8024326,Birmingham 
Bluefield West Virginia United States of America,30,2019-03-11,37.2698395,-81.2223195,Bluefield 
Boise Idaho United States of America,23,2019-03-11,43.6166163,-116.200886,Boise 
Boston Massachusetts United States of America,28,2019-03-11,42.3602534,-71.0582912,Boston 
Bowling Green Kentucky United States of America,31,2019-03-11,36.9903199,-86.4436018,Bowling Green 
Buffalo New York United States of America,25,2019-03-11,42.8867166,-78.8783922,Buffalo 
Burlington Vermont United States of America,17,2019-03-11,44.4762975,-73.2135472,Burlington 
Butte Montana United States of America,61,2019-03-11,46.0131505,-112.5365089,Butte 
Casper Wyoming United States of America,50,2019-03-11,42.866632,-106.313081,Casper 
Cedar Rapids Iowa United States of America,23,2019-03-11,41.9758872,-91.6704053,Cedar Rapids 
Champaign Illinois United States of America,28,2019-03-11,40.1164205,-88.2433829,Champaign 
Charleston South Carolina United States of America,25,2019-03-11,32.7876012,-79.9402728,Charleston 
Charleston West Virginia United States of America,12,2019-03-11,38.3505995,-81.6332812,Charleston 
Charlotte North Carolina United States of America,19,2019-03-11,35.2270869,-80.8431268,Charlotte 
Charlottesville Virginia United States of America,68,2019-03-11,38.029306,-78.4766781,Charlottesville 
Chattanooga Tennessee United States of America,21,2019-03-11,35.0457219,-85.3094883,Chattanooga 
Cheyenne Wyoming United States of America,69,2019-03-11,38.040803,-121.336657,Cheyenne 
Chicago Illinois United States of America,24,2019-03-11,41.8755616,-87.6244212,Chicago 
Chico California United States of America,42,2019-03-11,39.7284945,-121.8374777,Chico 
Cincinnati Ohio United States of America,14,2019-03-11,39.1014537,-84.5124602,Cincinnati 
Clarksburg West Virginia United States of America,33,2019-03-11,39.2806451,-80.3445341,Clarksburg 
Cleveland Ohio United States of America,22,2019-03-11,41.5051613,-81.6934446,Cleveland 
