geoName,interest,date,lat,long
Augusta GA USA,96,2019-01-01,33.4709714,-81.9748429
Austin TX USA,19,2019-01-01,30.2711286,-97.7436995
Boston MA USA,7,2019-01-01,42.3602534,-71.0582912
Buffalo NY USA,35,2019-01-01,42.8867166,-78.8783922
Chicago IL USA,5,2019-01-01,41.8755616,-87.6244212
Denver CO USA,10,2019-01-01,39.7348381,-104.9653271
Detroit MI USA,10,2019-01-01,42.3315509,-83.0466403
Ft. Smith AR USA,80,2019-01-01,35.3872218,-94.4248983
Kansas City MO USA,21,2019-01-01,39.100105,-94.5781416
Los Angeles CA USA,7,2019-01-01,34.0536909,-118.2427666
Milwaukee WI USA,20,2019-01-01,43.0349931,-87.922497
Minneapolis MN USA,10,2019-01-01,44.9772995,-93.2654692
Mobile AL USA,43,2019-01-01,39.092585,-84.853229
New York NY USA,3,2019-01-01,40.7127281,-74.0060152
Phoenix AZ USA,10,2019-01-01,33.4484367,-112.0741417
Pittsburgh PA USA,19,2019-01-01,40.4416941,-79.9900861
Portland OR USA,15,2019-01-01,45.5202471,-122.6741949
Sacramento CA USA,13,2019-01-01,38.5815719,-121.4943996
San Francisco CA USA,5,2019-01-01,37.7790262,-122.4199061
Sioux Falls SD USA,100,2019-01-01,43.5499749,-96.700327
St. Louis MO USA,17,2019-01-01,38.6268039,-90.1994097
Washington DC USA,5,2019-01-01,38.8948932,-77.0365529
Wichita KS USA,57,2019-01-01,37.6922361,-97.3375448
Atlanta GA USA,1,2019-01-07,33.7490987,-84.3901849
Bakersfield CA USA,19,2019-01-07,35.3738712,-119.0194639
Baltimore MD USA,4,2019-01-07,39.284749399999995,-76.62047463969989
Boston MA USA,3,2019-01-07,42.3602534,-71.0582912
Buffalo NY USA,22,2019-01-07,42.8867166,-78.8783922
Charlottesville VA USA,45,2019-01-07,38.029306,-78.4766781
Chicago IL USA,2,2019-01-07,41.8755616,-87.6244212
Cleveland OH USA,2,2019-01-07,41.5051613,-81.6934446
Columbus OH USA,4,2019-01-07,39.9622601,-83.0007065
Denver CO USA,2,2019-01-07,39.7348381,-104.9653271
Detroit MI USA,2,2019-01-07,42.3315509,-83.0466403
Fresno CA USA,7,2019-01-07,36.7295295,-119.70886126075588
Green Bay WI USA,11,2019-01-07,44.5126379,-88.0125794
Greensboro NC USA,7,2019-01-07,36.0726355,-79.7919754
Harrisburg PA USA,6,2019-01-07,40.2663107,-76.8861122
Hartford CT USA,4,2019-01-07,43.648048,-70.241416
Honolulu HI USA,8,2019-01-07,21.304547,-157.8556764
Houston TX USA,1,2019-01-07,29.7589382,-95.3676974
Idaho Falls ID USA,34,2019-01-07,43.4935245,-112.0400919
Jackson MS USA,15,2019-01-07,28.530801699999998,-81.30324431076107
Jacksonville FL USA,6,2019-01-07,30.3321838,-81.655651
Las Vegas NV USA,5,2019-01-07,36.1672559,-115.1485163
Lexington KY USA,10,2019-01-07,38.0464066,-84.4970393
Los Angeles CA USA,1,2019-01-07,34.0536909,-118.2427666
Madison WI USA,11,2019-01-07,43.074761,-89.3837613
