geoName,interest,date,lat,long
Albany NY USA,41,2019-03-11,42.6511674,-73.754968
Albuquerque NM USA,22,2019-03-11,35.0841034,-106.6509851
Atlanta GA USA,42,2019-03-11,33.7490987,-84.3901849
Austin TX USA,61,2019-03-11,30.2711286,-97.7436995
Baltimore MD USA,67,2019-03-11,39.284749399999995,-76.62047463969989
Birmingham AL USA,43,2019-03-11,33.570499,-86.765783
Boston MA USA,47,2019-03-11,42.3602534,-71.0582912
Buffalo NY USA,55,2019-03-11,42.8867166,-78.8783922
Charlotte NC USA,68,2019-03-11,35.2270869,-80.8431268
Chicago IL USA,42,2019-03-11,41.8755616,-87.6244212
Cincinnati OH USA,29,2019-03-11,39.1014537,-84.5124602
Cleveland OH USA,69,2019-03-11,41.5051613,-81.6934446
Columbus OH USA,58,2019-03-11,39.9622601,-83.0007065
Dallas TX USA,41,2019-03-11,32.7762719,-96.7968559
Denver CO USA,49,2019-03-11,39.7348381,-104.9653271
Detroit MI USA,69,2019-03-11,42.3315509,-83.0466403
Fresno CA USA,66,2019-03-11,36.7295295,-119.70886126075588
Ft. Myers FL USA,45,2019-03-11,26.640628,-81.8723084
Grand Rapids MI USA,25,2019-03-11,42.9142413,-85.533004
Greensboro NC USA,39,2019-03-11,36.0726355,-79.7919754
Greenville SC USA,61,2019-03-11,34.851354,-82.3984882
Harrisburg PA USA,22,2019-03-11,40.2663107,-76.8861122
Hartford CT USA,50,2019-03-11,43.648048,-70.241416
Honolulu HI USA,37,2019-03-11,21.304547,-157.8556764
Houston TX USA,29,2019-03-11,29.7589382,-95.3676974
Indianapolis IN USA,46,2019-03-11,39.7683331,-86.1583502
Jacksonville FL USA,48,2019-03-11,30.3321838,-81.655651
Kansas City MO USA,68,2019-03-11,39.100105,-94.5781416
Knoxville TN USA,95,2019-03-11,35.9603948,-83.9210261
Las Vegas NV USA,30,2019-03-11,36.1672559,-115.1485163
Lexington KY USA,91,2019-03-11,38.0464066,-84.4970393
Little Rock AR USA,95,2019-03-11,34.7464809,-92.2895948
Los Angeles CA USA,81,2019-03-11,34.0536909,-118.2427666
Louisville KY USA,65,2019-03-11,38.2542376,-85.759407
