geoName,interest,date,lat,long,city
Philadelphia Pennsylvania United States of America,100,2019-04-15,39.9527237,-75.1635262,Philadelphia 
Butte Montana United States of America,100,2019-07-08,46.0131505,-112.5365089,Butte 
Minneapolis Minnesota United States of America,4,2019-07-08,44.9772995,-93.2654692,Minneapolis 
Washington District of Columbia United States of America,2,2019-07-08,38.8948932,-77.0365529,Washington 
Raleigh North Carolina United States of America,47,2019-07-22,35.7803977,-78.6390989,Raleigh 
West Palm Beach Florida United States of America,100,2019-07-22,26.715364,-80.0532942,West Palm Beach 
Tampa Florida United States of America,100,2019-07-29,27.9477595,-82.458444,Tampa 
Portland Oregon United States of America,100,2019-08-05,45.5202471,-122.6741949,Portland 
Monroe Louisiana United States of America,100,2019-08-12,32.5093109,-92.1193012,Monroe 
Albany New York United States of America,4,2019-08-19,42.6511674,-73.754968,Albany 
Albuquerque New Mexico United States of America,4,2019-08-19,35.0841034,-106.6509851,Albuquerque 
Alexandria Louisiana United States of America,46,2019-08-19,31.311248,-92.4449087,Alexandria 
Atlanta Georgia United States of America,3,2019-08-19,33.7490987,-84.3901849,Atlanta 
Augusta Georgia United States of America,11,2019-08-19,33.4709714,-81.9748429,Augusta 
Austin Texas United States of America,4,2019-08-19,30.2711286,-97.7436995,Austin 
Baltimore Maryland United States of America,3,2019-08-19,39.2908816,-76.610759,Baltimore 
Baton Rouge Louisiana United States of America,17,2019-08-19,30.4459596,-91.18738,Baton Rouge 
Beaumont Texas United States of America,20,2019-08-19,30.0860459,-94.1018461,Beaumont 
Birmingham Alabama United States of America,3,2019-08-19,33.5206824,-86.8024326,Birmingham 
Boston Massachusetts United States of America,2,2019-08-19,42.3602534,-71.0582912,Boston 
Buffalo New York United States of America,4,2019-08-19,42.8867166,-78.8783922,Buffalo 
Burlington Vermont United States of America,9,2019-08-19,44.4762975,-73.2135472,Burlington 
Charleston South Carolina United States of America,15,2019-08-19,32.7876012,-79.9402728,Charleston 
Charleston West Virginia United States of America,9,2019-08-19,38.3505995,-81.6332812,Charleston 
Charlotte North Carolina United States of America,7,2019-08-19,35.2270869,-80.8431268,Charlotte 
Chattanooga Tennessee United States of America,8,2019-08-19,35.0457219,-85.3094883,Chattanooga 
Chicago Illinois United States of America,2,2019-08-19,41.8755616,-87.6244212,Chicago 
Cleveland Ohio United States of America,2,2019-08-19,41.5051613,-81.6934446,Cleveland 
Colorado Springs Colorado United States of America,10,2019-08-19,38.8339578,-104.8253485,Colorado Springs 
Columbia South Carolina United States of America,7,2019-08-19,34.0007493,-81.0343313,Columbia 
Columbus Ohio United States of America,4,2019-08-19,39.9622601,-83.0007065,Columbus 
Columbus Mississippi United States of America,24,2019-08-19,33.4956744,-88.4272627,Columbus 
Corpus Christi Texas United States of America,14,2019-08-19,27.7477253,-97.4014129,Corpus Christi 
Dallas Texas United States of America,1,2019-08-19,32.7762719,-96.7968559,Dallas 
Denver Colorado United States of America,1,2019-08-19,39.7392364,-104.9848623,Denver 
Detroit Michigan United States of America,1,2019-08-19,42.3315509,-83.0466403,Detroit 
Florence South Carolina United States of America,18,2019-08-19,34.1984435,-79.7671658,Florence 
Ft. Myers Florida United States of America,24,2019-08-19,26.640628,-81.8723084,Ft. Myers 
Gainesville Florida United States of America,16,2019-08-19,29.6519684,-82.3249846,Gainesville 
