geoName,interest,date,lat,long,city
Albany New York United States of America,30,2019-01-01,42.6511674,-73.754968,Albany 
Atlanta Georgia United States of America,8,2019-01-01,33.7490987,-84.3901849,Atlanta 
Baltimore Maryland United States of America,15,2019-01-01,39.2908816,-76.610759,Baltimore 
Boston Massachusetts United States of America,9,2019-01-01,42.3602534,-71.0582912,Boston 
Burlington Vermont United States of America,59,2019-01-01,44.4762975,-73.2135472,Burlington 
Chicago Illinois United States of America,4,2019-01-01,41.8755616,-87.6244212,Chicago 
Dallas Texas United States of America,4,2019-01-01,32.7762719,-96.7968559,Dallas 
Davenport Iowa United States of America,77,2019-01-01,41.5236436,-90.5776368,Davenport 
Denver Colorado United States of America,9,2019-01-01,39.7392364,-104.9848623,Denver 
Fresno California United States of America,33,2019-01-01,36.7295295,-119.70886126075588,Fresno 
Hartford Connecticut United States of America,15,2019-01-01,41.764582,-72.6908547,Hartford 
Kansas City Missouri United States of America,18,2019-01-01,39.100105,-94.5781416,Kansas City 
Knoxville Tennessee United States of America,39,2019-01-01,35.9603948,-83.9210261,Knoxville 
Lansing Michigan United States of America,33,2019-01-01,42.7337712,-84.5553805,Lansing 
Los Angeles California United States of America,2,2019-01-01,34.0536909,-118.2427666,Los Angeles 
Monterey California United States of America,77,2019-01-01,36.2231079,-121.3877428,Monterey 
New York New York United States of America,2,2019-01-01,36.1021436,-115.17449463280128,New York 
Orlando Florida United States of America,8,2019-01-01,28.5421109,-81.3790304,Orlando 
Philadelphia Pennsylvania United States of America,10,2019-01-01,39.9527237,-75.1635262,Philadelphia 
Phoenix Arizona United States of America,8,2019-01-01,33.4484367,-112.0741417,Phoenix 
Pittsburgh Pennsylvania United States of America,16,2019-01-01,40.4416941,-79.9900861,Pittsburgh 
Portland Oregon United States of America,12,2019-01-01,45.5202471,-122.6741949,Portland 
Sacramento California United States of America,11,2019-01-01,38.5815719,-121.4943996,Sacramento 
San Diego California United States of America,12,2019-01-01,32.7174209,-117.1627714,San Diego 
Seattle Washington United States of America,9,2019-01-01,47.6038321,-122.3300624,Seattle 
Spokane Washington United States of America,48,2019-01-01,47.6579425,-117.4212265,Spokane 
Tulsa Oklahoma United States of America,40,2019-01-01,36.1556805,-95.9929113,Tulsa 
Washington District of Columbia United States of America,9,2019-01-01,38.8948932,-77.0365529,Washington 
Wilkes Barre Pennsylvania United States of America,38,2019-01-01,41.2464824,-75.8817316,Wilkes Barre 
Wilmington North Carolina United States of America,100,2019-01-01,34.2257282,-77.9447107,Wilmington 
Albuquerque New Mexico United States of America,10,2019-01-07,35.0841034,-106.6509851,Albuquerque 
Austin Texas United States of America,6,2019-01-07,30.2711286,-97.7436995,Austin 
Boston Massachusetts United States of America,2,2019-01-07,42.3602534,-71.0582912,Boston 
Charleston South Carolina United States of America,18,2019-01-07,32.7876012,-79.9402728,Charleston 
Chicago Illinois United States of America,2,2019-01-07,41.8755616,-87.6244212,Chicago 
Cincinnati Ohio United States of America,6,2019-01-07,39.1014537,-84.5124602,Cincinnati 
Dallas Texas United States of America,2,2019-01-07,32.7762719,-96.7968559,Dallas 
Denver Colorado United States of America,4,2019-01-07,39.7392364,-104.9848623,Denver 
Detroit Michigan United States of America,3,2019-01-07,42.3315509,-83.0466403,Detroit 
Eugene Oregon United States of America,27,2019-01-07,44.0505054,-123.0950506,Eugene 
Grand Junction Colorado United States of America,100,2019-01-07,39.063956,-108.5507317,Grand Junction 
Hartford Connecticut United States of America,5,2019-01-07,41.764582,-72.6908547,Hartford 
Houston Texas United States of America,2,2019-01-07,29.7589382,-95.3676974,Houston 
Las Vegas Nevada United States of America,7,2019-01-07,36.1672559,-115.1485163,Las Vegas 
Los Angeles California United States of America,1,2019-01-07,34.0536909,-118.2427666,Los Angeles 
Milwaukee Wisconsin United States of America,6,2019-01-07,43.0349931,-87.922497,Milwaukee 
Montgomery Alabama United States of America,37,2019-01-07,32.3669656,-86.3006485,Montgomery 
Nashville Tennessee United States of America,5,2019-01-07,36.1622296,-86.7743531,Nashville 
New York New York United States of America,1,2019-01-07,36.1021436,-115.17449463280128,New York 
Omaha Nebraska United States of America,12,2019-01-07,41.2587459,-95.9383758,Omaha 
Philadelphia Pennsylvania United States of America,2,2019-01-07,39.9527237,-75.1635262,Philadelphia 
