topic,Week,interest
Area 51 raid,2019-01-06,0
Area 51 raid,2019-01-13,0
Area 51 raid,2019-01-20,<1
Area 51 raid,2019-01-27,0
Area 51 raid,2019-02-03,0
Area 51 raid,2019-02-10,0
Area 51 raid,2019-02-17,0
Area 51 raid,2019-02-24,0
Area 51 raid,2019-03-03,<1
Area 51 raid,2019-03-10,0
Area 51 raid,2019-03-17,0
Area 51 raid,2019-03-24,<1
Area 51 raid,2019-03-31,0
Area 51 raid,2019-04-07,<1
Area 51 raid,2019-04-14,0
Area 51 raid,2019-04-21,0
Area 51 raid,2019-04-28,0
Area 51 raid,2019-05-05,<1
Area 51 raid,2019-05-12,0
Area 51 raid,2019-05-19,0
Area 51 raid,2019-05-26,0
Area 51 raid,2019-06-02,0
Area 51 raid,2019-06-09,<1
Area 51 raid,2019-06-16,<1
Area 51 raid,2019-06-23,0
Area 51 raid,2019-06-30,<1
Area 51 raid,2019-07-07,23
Area 51 raid,2019-07-14,50
Area 51 raid,2019-07-21,4
Area 51 raid,2019-07-28,3
Area 51 raid,2019-08-04,2
Area 51 raid,2019-08-11,2
Area 51 raid,2019-08-18,2
Area 51 raid,2019-08-25,2
Area 51 raid,2019-09-01,3
Area 51 raid,2019-09-08,5
Area 51 raid,2019-09-15,100
Area 51 raid,2019-09-22,11
Area 51 raid,2019-09-29,1
Area 51 raid,2019-10-06,1
Area 51 raid,2019-10-13,1
Area 51 raid,2019-10-20,1
Area 51 raid,2019-10-27,<1
Area 51 raid,2019-11-03,<1
Area 51 raid,2019-11-10,<1
Area 51 raid,2019-11-17,<1
Area 51 raid,2019-11-24,<1
Area 51 raid,2019-12-01,<1
Area 51 raid,2019-12-08,<1
Area 51 raid,2019-12-15,<1
Area 51 raid,2019-12-22,<1
Area 51 raid,2019-12-29,<1
Baby Yoda,2019-01-06,<1
Baby Yoda,2019-01-13,<1
Baby Yoda,2019-01-20,<1
Baby Yoda,2019-01-27,<1
Baby Yoda,2019-02-03,<1
Baby Yoda,2019-02-10,<1
Baby Yoda,2019-02-17,<1
Baby Yoda,2019-02-24,<1
Baby Yoda,2019-03-03,<1
Baby Yoda,2019-03-10,<1
Baby Yoda,2019-03-17,<1
Baby Yoda,2019-03-24,<1
Baby Yoda,2019-03-31,<1
Baby Yoda,2019-04-07,<1
Baby Yoda,2019-04-14,<1
Baby Yoda,2019-04-21,<1
Baby Yoda,2019-04-28,<1
Baby Yoda,2019-05-05,<1
Baby Yoda,2019-05-12,<1
Baby Yoda,2019-05-19,<1
Baby Yoda,2019-05-26,<1
Baby Yoda,2019-06-02,<1
Baby Yoda,2019-06-09,<1
Baby Yoda,2019-06-16,<1
Baby Yoda,2019-06-23,<1
Baby Yoda,2019-06-30,<1
Baby Yoda,2019-07-07,<1
Baby Yoda,2019-07-14,<1
Baby Yoda,2019-07-21,<1
Baby Yoda,2019-07-28,<1
Baby Yoda,2019-08-04,<1
Baby Yoda,2019-08-11,<1
Baby Yoda,2019-08-18,<1
Baby Yoda,2019-08-25,<1
Baby Yoda,2019-09-01,<1
Baby Yoda,2019-09-08,<1
Baby Yoda,2019-09-15,<1
Baby Yoda,2019-09-22,<1
Baby Yoda,2019-09-29,<1
Baby Yoda,2019-10-06,<1
Baby Yoda,2019-10-13,<1
Baby Yoda,2019-10-20,<1
Baby Yoda,2019-10-27,<1
Baby Yoda,2019-11-03,<1
Baby Yoda,2019-11-10,14
Baby Yoda,2019-11-17,61
Baby Yoda,2019-11-24,74
Baby Yoda,2019-12-01,100
Baby Yoda,2019-12-08,73
Baby Yoda,2019-12-15,81
Baby Yoda,2019-12-22,73
Baby Yoda,2019-12-29,55
Boeing 737 crashes,2019-01-06,1
Boeing 737 crashes,2019-01-13,1
Boeing 737 crashes,2019-01-20,0
Boeing 737 crashes,2019-01-27,1
Boeing 737 crashes,2019-02-03,0
Boeing 737 crashes,2019-02-10,0
Boeing 737 crashes,2019-02-17,1
Boeing 737 crashes,2019-02-24,0
Boeing 737 crashes,2019-03-03,1
Boeing 737 crashes,2019-03-10,100
Boeing 737 crashes,2019-03-17,14
Boeing 737 crashes,2019-03-24,18
Boeing 737 crashes,2019-03-31,8
Boeing 737 crashes,2019-04-07,7
Boeing 737 crashes,2019-04-14,5
Boeing 737 crashes,2019-04-21,4
Boeing 737 crashes,2019-04-28,4
Boeing 737 crashes,2019-05-05,4
Boeing 737 crashes,2019-05-12,3
Boeing 737 crashes,2019-05-19,4
Boeing 737 crashes,2019-05-26,2
Boeing 737 crashes,2019-06-02,3
Boeing 737 crashes,2019-06-09,2
Boeing 737 crashes,2019-06-16,6
