geoName,interest,date,lat,long
Tri VA USA,100,2019-01-21,38.5467876,-77.3366491
Harrisburg PA USA,100,2019-03-18,40.2663107,-76.8861122
Tampa FL USA,100,2019-05-06,27.9518491,-82.4563972
Phoenix AZ USA,100,2019-06-17,33.4484367,-112.0741417
Charlotte NC USA,13,2019-07-01,35.2270869,-80.8431268
Chicago IL USA,4,2019-07-01,41.8755616,-87.6244212
Colorado Springs CO USA,55,2019-07-01,38.8339578,-104.8253485
Harrisburg PA USA,30,2019-07-01,40.2663107,-76.8861122
Los Angeles CA USA,2,2019-07-01,34.0536909,-118.2427666
New Orleans LA USA,30,2019-07-01,29.9499323,-90.0701156
Omaha NE USA,39,2019-07-01,41.2587459,-95.9383758
San Antonio TX USA,19,2019-07-01,29.4246002,-98.4951405
Tyler TX USA,100,2019-07-01,32.3512601,-95.3010624
Abilene TX USA,34,2019-07-08,32.44645,-99.7475905
Albany GA USA,20,2019-07-08,40.0555158,-82.8457691
Albany NY USA,17,2019-07-08,42.6511674,-73.754968
Albuquerque NM USA,26,2019-07-08,35.0841034,-106.6509851
Alexandria LA USA,15,2019-07-08,38.8147596,-77.09024765272724
Alpena MI USA,82,2019-07-08,45.0176181,-83.6670019
Amarillo TX USA,25,2019-07-08,35.2072185,-101.8338246
Anchorage AK USA,13,2019-07-08,61.2163129,-149.8948523
Atlanta GA USA,20,2019-07-08,33.7490987,-84.3901849
Augusta GA USA,18,2019-07-08,33.4709714,-81.9748429
Austin TX USA,20,2019-07-08,30.2711286,-97.7436995
Bakersfield CA USA,22,2019-07-08,35.3738712,-119.0194639
Baltimore MD USA,17,2019-07-08,39.284749399999995,-76.62047463969989
Bangor ME USA,18,2019-07-08,44.8011821,-68.7778138
Baton Rouge LA USA,12,2019-07-08,30.4459596,-91.18738
Beaumont TX USA,17,2019-07-08,30.0860459,-94.1018461
Bend OR USA,20,2019-07-08,44.0581728,-121.3153096
"Billings, MT USA",17,2019-07-08,45.7874957,-108.49607
Biloxi MS USA,22,2019-07-08,30.374673,-88.84594333482862
Binghamton NY USA,20,2019-07-08,42.096968,-75.914341
Birmingham AL USA,21,2019-07-08,33.570499,-86.765783
Bluefield WV USA,21,2019-07-08,37.2698395,-81.2223195
Boise ID USA,20,2019-07-08,43.6166163,-116.200886
Boston MA USA,15,2019-07-08,42.3602534,-71.0582912
Bowling Green KY USA,20,2019-07-08,36.9903199,-86.4436018
Buffalo NY USA,12,2019-07-08,42.8867166,-78.8783922
Burlington VT USA,18,2019-07-08,44.4762975,-73.2135472
Butte MT USA,12,2019-07-08,46.0131505,-112.5365089
Casper WY USA,17,2019-07-08,39.4632037,-75.7079641
Cedar Rapids IA USA,19,2019-07-08,41.9758872,-91.6704053
Champaign IL USA,17,2019-07-08,40.1164205,-88.2433829
Charleston SC USA,19,2019-07-08,32.7876012,-79.9402728
Charleston WV USA,21,2019-07-08,38.3505995,-81.6332812
Charlotte NC USA,19,2019-07-08,35.2270869,-80.8431268
Charlottesville VA USA,22,2019-07-08,38.029306,-78.4766781
Chattanooga TN USA,20,2019-07-08,35.0457219,-85.3094883
Cheyenne WY USA,19,2019-07-08,40.640361,-74.367318
Chicago IL USA,17,2019-07-08,41.8755616,-87.6244212
Chico CA USA,22,2019-07-08,39.7284945,-121.8374777
Cincinnati OH USA,20,2019-07-08,39.1014537,-84.5124602
Clarksburg WV USA,21,2019-07-08,39.2806451,-80.3445341
Cleveland OH USA,20,2019-07-08,41.5051613,-81.6934446
Colorado Springs CO USA,24,2019-07-08,38.8339578,-104.8253485
Columbia SC USA,17,2019-07-08,34.0007493,-81.0343313
Columbia MO USA,29,2019-07-08,38.951883,-92.3337366
Columbus GA USA,20,2019-07-08,32.4609764,-84.9877094
Columbus OH USA,20,2019-07-08,39.9622601,-83.0007065
Columbus MS USA,18,2019-07-08,43.336875649999996,-89.0196532340367
Corpus Christi TX USA,25,2019-07-08,27.7477253,-97.4014129
Dallas TX USA,21,2019-07-08,32.7762719,-96.7968559
Davenport IA USA,13,2019-07-08,41.5236436,-90.5776368
Dayton OH USA,21,2019-07-08,39.7589478,-84.1916069
Denver CO USA,18,2019-07-08,39.7348381,-104.9653271
