geoName,interest,date,lat,long
Albany GA,33,2019-01-01,51.7468576,-0.3383107
Albany,5,2019-01-01,42.6511674,-73.754968
Albuquerque,5,2019-01-01,35.0841034,-106.6509851
Alexandria LA,59,2019-01-01,31.199004,29.894378
Amarillo TX,23,2019-01-01,35.2072185,-101.8338246
Atlanta GA,10,2019-01-01,33.7490987,-84.3901849
Augusta GA,30,2019-01-01,33.4709714,-81.9748429
Austin TX,7,2019-01-01,30.2711286,-97.7436995
Baltimore MD,5,2019-01-01,39.2908816,-76.610759
Bangor ME,29,2019-01-01,29.0659229,-110.97133
Baton Rouge LA,27,2019-01-01,30.4459596,-91.18738
Bend OR,82,2019-01-01,44.0581728,-121.3153096
Biloxi,29,2019-01-01,30.374673,-88.84594333482862
Birmingham AL,30,2019-01-01,33.570499,-86.765783
Boise ID,11,2019-01-01,43.6166163,-116.200886
Boston MA,3,2019-01-01,42.3602534,-71.0582912
Buffalo NY,11,2019-01-01,42.8867166,-78.8783922
Cedar Rapids,11,2019-01-01,41.9758872,-91.6704053
Champaign,12,2019-01-01,40.1164205,-88.2433829
Charleston SC,10,2019-01-01,32.7876012,-79.9402728
Charlotte NC,7,2019-01-01,35.2270869,-80.8431268
Chattanooga TN,10,2019-01-01,35.0457219,-85.3094883
Chicago IL,3,2019-01-01,41.8755616,-87.6244212
Cincinnati OH,12,2019-01-01,39.1014537,-84.5124602
Cleveland,8,2019-01-01,41.5051613,-81.6934446
Colorado Springs,9,2019-01-01,38.8339578,-104.8253485
Columbia SC,14,2019-01-01,34.0007493,-81.0343313
Columbia,23,2019-01-01,2.8894434,-73.783892
Columbus GA,55,2019-01-01,43.1830762,-79.8147518
Columbus OH,18,2019-01-01,39.9622601,-83.0007065
Columbus,34,2019-01-01,39.9622601,-83.0007065
Dallas,7,2019-01-01,32.7762719,-96.7968559
Davenport IA,14,2019-01-01,41.5236436,-90.5776368
Dayton OH,21,2019-01-01,39.7589478,-84.1916069
Denver CO,6,2019-01-01,39.7348381,-104.9653271
Des Moines,16,2019-01-01,41.5910641,-93.6037149
Detroit MI,8,2019-01-01,42.3315509,-83.0466403
Duluth MN,26,2019-01-01,46.7729322,-92.1251218
El Paso TX,10,2019-01-01,31.7754152,-106.4646348
Eugene OR,15,2019-01-01,44.0505054,-123.0950506
Evansville IN,15,2019-01-01,4.5777639,-7.6472486
Flint,9,2019-01-01,43.0161693,-83.6900211
Florence,19,2019-01-01,43.7698712,11.2555757
Fresno,8,2019-01-01,36.7295295,-119.70886126075588
Ft. Myers,12,2019-01-01,26.640628,-81.8723084
Ft. Smith,24,2019-01-01,35.3872218,-94.4248983
Gainesville FL,25,2019-01-01,29.67357765,-82.32337460192167
