geoName,interest,date,lat,long,city
Atlanta Georgia United States of America,22,2019-01-01,33.7490987,-84.3901849,Atlanta 
Charlotte North Carolina United States of America,13,2019-01-01,35.2270869,-80.8431268,Charlotte 
Chicago Illinois United States of America,10,2019-01-01,41.8755616,-87.6244212,Chicago 
Dallas Texas United States of America,5,2019-01-01,32.7762719,-96.7968559,Dallas 
Denver Colorado United States of America,10,2019-01-01,39.7392364,-104.9848623,Denver 
El Paso Texas United States of America,63,2019-01-01,31.7754152,-106.4646348,El Paso 
Honolulu Hawaii United States of America,41,2019-01-01,21.304547,-157.8556764,Honolulu 
Houston Texas United States of America,7,2019-01-01,29.7589382,-95.3676974,Houston 
Kansas City Missouri United States of America,21,2019-01-01,39.100105,-94.5781416,Kansas City 
Los Angeles California United States of America,3,2019-01-01,34.0536909,-118.2427666,Los Angeles 
Miami Florida United States of America,10,2019-01-01,25.7742658,-80.1936589,Miami 
New Orleans Louisiana United States of America,31,2019-01-01,29.9499323,-90.0701156,New Orleans 
New York New York United States of America,2,2019-01-01,36.1021436,-115.17449463280128,New York 
Orlando Florida United States of America,10,2019-01-01,28.5421109,-81.3790304,Orlando 
Philadelphia Pennsylvania United States of America,6,2019-01-01,39.9527237,-75.1635262,Philadelphia 
Portland Oregon United States of America,14,2019-01-01,45.5202471,-122.6741949,Portland 
Rochester New York United States of America,53,2019-01-01,43.157285,-77.615214,Rochester 
Sacramento California United States of America,13,2019-01-01,38.5815719,-121.4943996,Sacramento 
Seattle Washington United States of America,8,2019-01-01,47.6038321,-122.3300624,Seattle 
Sioux Falls South Dakota United States of America,100,2019-01-01,43.5499749,-96.700327,Sioux Falls 
St. Louis Missouri United States of America,17,2019-01-01,38.6529545,-90.24111656024635,St. Louis 
Tampa Florida United States of America,11,2019-01-01,27.9477595,-82.458444,Tampa 
Washington District of Columbia United States of America,5,2019-01-01,38.8948932,-77.0365529,Washington 
Albany New York United States of America,30,2019-01-07,42.6511674,-73.754968,Albany 
Atlanta Georgia United States of America,16,2019-01-07,33.7490987,-84.3901849,Atlanta 
Austin Texas United States of America,16,2019-01-07,30.2711286,-97.7436995,Austin 
Baltimore Maryland United States of America,15,2019-01-07,39.2908816,-76.610759,Baltimore 
Boston Massachusetts United States of America,5,2019-01-07,42.3602534,-71.0582912,Boston 
Charleston South Carolina United States of America,50,2019-01-07,32.7876012,-79.9402728,Charleston 
Chicago Illinois United States of America,4,2019-01-07,41.8755616,-87.6244212,Chicago 
Cincinnati Ohio United States of America,17,2019-01-07,39.1014537,-84.5124602,Cincinnati 
Corpus Christi Texas United States of America,100,2019-01-07,27.7477253,-97.4014129,Corpus Christi 
Dallas Texas United States of America,9,2019-01-07,32.7762719,-96.7968559,Dallas 
Ft. Myers Florida United States of America,35,2019-01-07,26.640628,-81.8723084,Ft. Myers 
Greenville South Carolina United States of America,22,2019-01-07,34.851354,-82.3984882,Greenville 
Houston Texas United States of America,5,2019-01-07,29.7589382,-95.3676974,Houston 
Kansas City Missouri United States of America,33,2019-01-07,39.100105,-94.5781416,Kansas City 
