geoName,interest,date,lat,long
Boston MA,4,2019-01-01,42.3602534,-71.0582912
Chicago IL,3,2019-01-01,41.8755616,-87.6244212
Dallas,3,2019-01-01,32.7762719,-96.7968559
Grand Rapids,18,2019-01-01,42.9632405,-85.6678639
Rochester NY,34,2019-01-01,43.157285,-77.615214
Sacramento,8,2019-01-01,38.5815719,-121.4943996
South Bend,100,2019-01-01,41.6833813,-86.2500066
St. Louis MO,10,2019-01-01,38.6529545,-90.24111656024635
Wilkes Barre,28,2019-01-01,41.2464824,-75.8817316
Paducah KY,100,2019-01-07,37.0833893,-88.6000478
Wilkes Barre,54,2019-01-07,41.2464824,-75.8817316
Indianapolis IN,7,2019-01-14,39.7683331,-86.1583502
Utica NY,100,2019-01-14,43.1009031,-75.2326641
Austin TX,24,2019-01-21,30.2711286,-97.7436995
Milwaukee WI,27,2019-01-21,43.0349931,-87.922497
New York NY,3,2019-01-21,40.7127281,-74.0060152
South Bend,100,2019-01-21,41.6833813,-86.2500066
Tampa,14,2019-01-21,27.9477595,-82.458444
West Palm Beach,36,2019-01-21,26.7153425,-80.0533746
Fresno,48,2019-01-28,36.7295295,-119.70886126075588
Indianapolis IN,24,2019-01-28,39.7683331,-86.1583502
Knoxville TN,62,2019-01-28,35.9603948,-83.9210261
South Bend,100,2019-01-28,41.6833813,-86.2500066
Chicago IL,5,2019-02-04,41.8755616,-87.6244212
Monterey,100,2019-02-04,36.2231079,-121.3877428
New York NY,2,2019-02-04,40.7127281,-74.0060152
Philadelphia PA,7,2019-02-04,39.9527237,-75.1635262
San Diego CA,16,2019-02-04,32.7174209,-117.1627714
South Bend,93,2019-02-04,41.6833813,-86.2500066
Washington DC,7,2019-02-04,38.8948932,-77.0365529
Charleston SC,100,2019-02-11,32.7876012,-79.9402728
Chicago IL,7,2019-02-11,41.8755616,-87.6244212
Seattle,14,2019-02-11,47.6038321,-122.3300624
Atlanta GA,15,2019-02-18,33.7490987,-84.3901849
Chicago IL,10,2019-02-18,41.8755616,-87.6244212
New York NY,4,2019-02-18,40.7127281,-74.0060152
Providence RI,74,2019-02-18,51.4325409,-2.6642358
Wilkes Barre,100,2019-02-18,41.2464824,-75.8817316
Johnstown,100,2019-02-25,40.3267407,-78.9219698
Nashville TN,20,2019-02-25,36.1622296,-86.7743531
South Bend,94,2019-02-25,41.6833813,-86.2500066
Atlanta GA,10,2019-03-04,33.7490987,-84.3901849
Dallas,8,2019-03-04,32.7762719,-96.7968559
Huntsville,100,2019-03-04,34.729847,-86.5859011
New York NY,3,2019-03-04,40.7127281,-74.0060152
Roanoke,78,2019-03-04,37.270973,-79.9414313
Boston MA,9,2019-03-11,42.3602534,-71.0582912
New York NY,2,2019-03-11,40.7127281,-74.0060152
South Bend,100,2019-03-11,41.6833813,-86.2500066
Norfolk,35,2019-03-18,52.666667,1.0
San Francisco,7,2019-03-18,37.7790262,-122.4199061
South Bend,100,2019-03-18,41.6833813,-86.2500066
Chicago IL,6,2019-03-25,41.8755616,-87.6244212
New Orleans LA,41,2019-03-25,29.9499323,-90.0701156
New York NY,2,2019-03-25,40.7127281,-74.0060152
South Bend,100,2019-03-25,41.6833813,-86.2500066
Los Angeles CA,21,2019-04-01,34.0536909,-118.2427666
New York NY,14,2019-04-01,40.7127281,-74.0060152
Raleigh,100,2019-04-01,35.7803977,-78.6390989
Baltimore MD,16,2019-04-08,39.2908816,-76.610759
Cleveland,11,2019-04-08,41.5051613,-81.6934446
Houston TX,6,2019-04-08,29.7589382,-95.3676974
Indianapolis IN,16,2019-04-08,39.7683331,-86.1583502
La Crosse,100,2019-04-08,43.8014053,-91.2395429
Las Vegas NV,20,2019-04-08,36.1672559,-115.1485163
Milwaukee WI,17,2019-04-08,43.0349931,-87.922497
Nashville TN,14,2019-04-08,36.1622296,-86.7743531
Raleigh,10,2019-04-08,35.7803977,-78.6390989
Abilene,11,2019-04-15,32.44645,-99.7475905
Albany GA,9,2019-04-15,51.7468576,-0.3383107
Albany,17,2019-04-15,42.6511674,-73.754968
Albuquerque,16,2019-04-15,35.0841034,-106.6509851
Alexandria LA,10,2019-04-15,31.199004,29.894378
Alpena MI,13,2019-04-15,45.0176181,-83.6670019
Amarillo TX,14,2019-04-15,35.2072185,-101.8338246
Anchorage AK,13,2019-04-15,61.2163129,-149.8948523
Atlanta GA,12,2019-04-15,33.7490987,-84.3901849
Augusta GA,10,2019-04-15,33.4709714,-81.9748429
Austin TX,14,2019-04-15,30.2711286,-97.7436995
Bakersfield CA,11,2019-04-15,35.3738712,-119.0194639
Baltimore MD,13,2019-04-15,39.2908816,-76.610759
Bangor ME,12,2019-04-15,29.0659229,-110.97133
Baton Rouge LA,13,2019-04-15,30.4459596,-91.18738
Beaumont,8,2019-04-15,30.0860459,-94.1018461
Bend OR,19,2019-04-15,44.0581728,-121.3153096
"Billings, MT",18,2019-04-15,45.7874957,-108.49607
