geoName,interest,date,lat,long
Atlanta GA,3,2019-01-01,33.7490987,-84.3901849
Baltimore MD,8,2019-01-01,39.2908816,-76.610759
Boise ID,35,2019-01-01,43.6166163,-116.200886
Boston MA,3,2019-01-01,42.3602534,-71.0582912
Buffalo NY,17,2019-01-01,42.8867166,-78.8783922
Burlington VT,33,2019-01-01,44.4762975,-73.2135472
Chicago IL,2,2019-01-01,41.8755616,-87.6244212
Cincinnati OH,10,2019-01-01,39.1014537,-84.5124602
Cleveland,6,2019-01-01,41.5051613,-81.6934446
Dallas,4,2019-01-01,32.7762719,-96.7968559
Denver CO,10,2019-01-01,39.7348381,-104.9653271
Harrisburg,14,2019-01-01,40.2663107,-76.8861122
Hartford,9,2019-01-01,41.764582,-72.6908547
Houston TX,6,2019-01-01,29.7589382,-95.3676974
Indianapolis IN,9,2019-01-01,39.7683331,-86.1583502
Jacksonville FL,14,2019-01-01,30.3321838,-81.655651
Kansas City MO,10,2019-01-01,39.100105,-94.5781416
Las Vegas NV,11,2019-01-01,36.1672559,-115.1485163
Little Rock,22,2019-01-01,34.7464809,-92.2895948
Los Angeles CA,1,2019-01-01,34.0536909,-118.2427666
Miami,9,2019-01-01,25.7742658,-80.1936589
Milwaukee WI,9,2019-01-01,43.0349931,-87.922497
Mobile AL,20,2019-01-01,39.092585,-84.853229
Monroe LA,100,2019-01-01,38.2722313,-90.1792484
New Orleans LA,15,2019-01-01,29.9499323,-90.0701156
New York NY,2,2019-01-01,40.7127281,-74.0060152
Philadelphia PA,6,2019-01-01,39.9527237,-75.1635262
Phoenix AZ,7,2019-01-01,33.4484367,-112.0741417
Pittsburgh PA,9,2019-01-01,40.4416941,-79.9900861
Portland,26,2019-01-01,45.5202471,-122.6741949
Providence RI,16,2019-01-01,51.4325409,-2.6642358
Raleigh,6,2019-01-01,35.7803977,-78.6390989
San Francisco,2,2019-01-01,37.7790262,-122.4199061
Sioux Fall,48,2019-01-01,46.737158,-90.8801835
South Bend,38,2019-01-01,41.6833813,-86.2500066
Spokane WA,27,2019-01-01,47.6579425,-117.4212265
St. Louis MO,8,2019-01-01,38.6529545,-90.24111656024635
Waco,31,2019-01-01,31.549333,-97.1466695
Washington DC,4,2019-01-01,38.8948932,-77.0365529
Wilkes Barre,21,2019-01-01,41.2464824,-75.8817316
Youngstown OH,50,2019-01-01,41.1035786,-80.6520161
Atlanta GA,11,2019-01-07,33.7490987,-84.3901849
Austin TX,11,2019-01-07,30.2711286,-97.7436995
Baton Rouge LA,44,2019-01-07,30.4459596,-91.18738
Boston MA,5,2019-01-07,42.3602534,-71.0582912
Charleston,45,2019-01-07,32.7876012,-79.9402728
Charlotte NC,7,2019-01-07,35.2270869,-80.8431268
Chattanooga TN,40,2019-01-07,35.0457219,-85.3094883
Chicago IL,6,2019-01-07,41.8755616,-87.6244212
Cincinnati OH,13,2019-01-07,39.1014537,-84.5124602
Cleveland,10,2019-01-07,41.5051613,-81.6934446
Colorado Springs,36,2019-01-07,38.8339578,-104.8253485
Columbia SC,34,2019-01-07,34.0007493,-81.0343313
Columbus OH,12,2019-01-07,39.9622601,-83.0007065
Dallas,6,2019-01-07,32.7762719,-96.7968559
Dayton OH,33,2019-01-07,39.7589478,-84.1916069
Eugene OR,56,2019-01-07,44.0505054,-123.0950506
Fargo,61,2019-01-07,46.877229,-96.789821
Ft. Myers,26,2019-01-07,26.640628,-81.8723084
Gainesville FL,85,2019-01-07,29.67357765,-82.32337460192167
Grand Rapids,26,2019-01-07,42.9632405,-85.6678639
Green Bay,33,2019-01-07,44.5126379,-88.0125794
Greensboro,21,2019-01-07,36.0726355,-79.7919754
Hartford,17,2019-01-07,41.764582,-72.6908547
Houston TX,8,2019-01-07,29.7589382,-95.3676974
Indianapolis IN,11,2019-01-07,39.7683331,-86.1583502
Jacksonville FL,19,2019-01-07,30.3321838,-81.655651
Lafayette LA,78,2019-01-07,30.2240897,-92.0198427
Las Vegas NV,14,2019-01-07,36.1672559,-115.1485163
Lincoln,52,2019-01-07,47.8299069,-118.414727
Little Rock,28,2019-01-07,34.7464809,-92.2895948
