geoName,interest,date,lat,long
Augusta GA,100,2019-01-01,33.4709714,-81.9748429
Dayton OH,56,2019-01-01,39.7589478,-84.1916069
Greensboro,35,2019-01-01,36.0726355,-79.7919754
Jacksonville FL,32,2019-01-01,30.3321838,-81.655651
Los Angeles CA,3,2019-01-01,34.0536909,-118.2427666
Providence RI,33,2019-01-01,51.4325409,-2.6642358
Raleigh,12,2019-01-01,35.7803977,-78.6390989
Sacramento,14,2019-01-01,38.5815719,-121.4943996
Seattle,9,2019-01-01,47.6038321,-122.3300624
Tallahassee FL,97,2019-01-01,30.4380832,-84.2809332
Atlanta GA,13,2019-01-07,33.7490987,-84.3901849
Dallas,5,2019-01-07,32.7762719,-96.7968559
Grand Rapids,29,2019-01-07,42.9632405,-85.6678639
Knoxville TN,48,2019-01-07,35.9603948,-83.9210261
Rochester NY,55,2019-01-07,43.157285,-77.615214
Tampa,22,2019-01-07,27.9477595,-82.458444
Washington DC,5,2019-01-07,38.8948932,-77.0365529
Yakima,100,2019-01-07,46.601557,-120.5108421
Dallas,5,2019-01-14,32.7762719,-96.7968559
Ft. Smith,65,2019-01-14,35.3872218,-94.4248983
Houston TX,6,2019-01-14,29.7589382,-95.3676974
Roanoke,48,2019-01-14,37.270973,-79.9414313
San Antonio TX,19,2019-01-14,29.4246002,-98.4951405
Youngstown OH,100,2019-01-14,41.1035786,-80.6520161
Atlanta GA,1,2019-01-21,33.7490987,-84.3901849
Augusta GA,22,2019-01-21,33.4709714,-81.9748429
Cheyenne WY,100,2019-01-21,45.2519491,-75.7306849
Houston TX,1,2019-01-21,29.7589382,-95.3676974
Los Angeles CA,1,2019-01-21,34.0536909,-118.2427666
Nashville TN,4,2019-01-21,36.1622296,-86.7743531
Norfolk,6,2019-01-21,52.666667,1.0
Phoenix AZ,2,2019-01-21,33.4484367,-112.0741417
Portland OR,3,2019-01-21,45.5202471,-122.6741949
San Diego CA,3,2019-01-21,32.7174209,-117.1627714
Washington DC,1,2019-01-21,38.8948932,-77.0365529
Boston MA,2,2019-01-28,42.3602534,-71.0582912
