geoName,interest,date,lat,long
San Francisco,100,2019-01-14,37.7790262,-122.4199061
New York NY,100,2019-02-04,40.7127281,-74.0060152
Dallas,95,2019-03-04,32.7762719,-96.7968559
Los Angeles CA,48,2019-03-04,34.0536909,-118.2427666
New York NY,35,2019-03-04,40.7127281,-74.0060152
Washington DC,100,2019-03-04,38.8948932,-77.0365529
Boston MA,62,2019-03-11,42.3602534,-71.0582912
Chicago IL,41,2019-03-11,41.8755616,-87.6244212
Dallas,79,2019-03-11,32.7762719,-96.7968559
Los Angeles CA,32,2019-03-11,34.0536909,-118.2427666
New York NY,54,2019-03-11,40.7127281,-74.0060152
San Francisco,58,2019-03-11,37.7790262,-122.4199061
Washington DC,100,2019-03-11,38.8948932,-77.0365529
New York NY,60,2019-03-18,40.7127281,-74.0060152
San Francisco,100,2019-03-18,37.7790262,-122.4199061
Boston MA,60,2019-03-25,42.3602534,-71.0582912
Chicago IL,43,2019-03-25,41.8755616,-87.6244212
Los Angeles CA,50,2019-03-25,34.0536909,-118.2427666
New York NY,25,2019-03-25,40.7127281,-74.0060152
Washington DC,100,2019-03-25,38.8948932,-77.0365529
Boston MA,98,2019-04-01,42.3602534,-71.0582912
Chicago IL,100,2019-04-01,41.8755616,-87.6244212
Los Angeles CA,40,2019-04-01,34.0536909,-118.2427666
San Francisco,83,2019-04-01,37.7790262,-122.4199061
New York NY,36,2019-04-08,40.7127281,-74.0060152
Washington DC,100,2019-04-08,38.8948932,-77.0365529
Dallas,84,2019-04-15,32.7762719,-96.7968559
New York NY,72,2019-04-15,40.7127281,-74.0060152
San Francisco,97,2019-04-15,37.7790262,-122.4199061
Washington DC,100,2019-04-15,38.8948932,-77.0365529
Boston MA,100,2019-04-29,42.3602534,-71.0582912
New York NY,100,2019-05-06,40.7127281,-74.0060152
Boston MA,100,2019-05-13,42.3602534,-71.0582912
New York NY,29,2019-05-13,40.7127281,-74.0060152
San Francisco,74,2019-05-13,37.7790262,-122.4199061
Washington DC,80,2019-05-13,38.8948932,-77.0365529
Boston MA,100,2019-05-20,42.3602534,-71.0582912
Chicago IL,63,2019-05-20,41.8755616,-87.6244212
Boston MA,100,2019-05-27,42.3602534,-71.0582912
Boston MA,100,2019-06-03,42.3602534,-71.0582912
San Francisco,76,2019-06-03,37.7790262,-122.4199061
Washington DC,82,2019-06-03,38.8948932,-77.0365529
New York NY,17,2019-06-10,40.7127281,-74.0060152
San Francisco,100,2019-06-10,37.7790262,-122.4199061
Washington DC,54,2019-06-10,38.8948932,-77.0365529
Boston MA,100,2019-06-24,42.3602534,-71.0582912
San Francisco,53,2019-06-24,37.7790262,-122.4199061
Los Angeles CA,94,2019-07-01,34.0536909,-118.2427666
New York NY,36,2019-07-01,40.7127281,-74.0060152
San Francisco,100,2019-07-01,37.7790262,-122.4199061
New York NY,100,2019-07-29,40.7127281,-74.0060152
Dallas,100,2019-09-02,32.7762719,-96.7968559
Los Angeles CA,52,2019-09-02,34.0536909,-118.2427666
Washington DC,100,2019-09-23,38.8948932,-77.0365529
Los Angeles CA,100,2019-09-30,34.0536909,-118.2427666
New York NY,73,2019-09-30,40.7127281,-74.0060152
San Francisco,100,2019-10-07,37.7790262,-122.4199061
Chicago IL,88,2019-10-28,41.8755616,-87.6244212
Dallas,98,2019-10-28,32.7762719,-96.7968559
Los Angeles CA,50,2019-10-28,34.0536909,-118.2427666
New York NY,72,2019-10-28,40.7127281,-74.0060152
San Francisco,94,2019-10-28,37.7790262,-122.4199061
Washington DC,100,2019-10-28,38.8948932,-77.0365529
New York NY,100,2019-11-04,40.7127281,-74.0060152
New York NY,100,2019-11-11,40.7127281,-74.0060152
Chicago IL,93,2019-11-18,41.8755616,-87.6244212
Los Angeles CA,52,2019-11-18,34.0536909,-118.2427666
San Francisco,100,2019-11-18,37.7790262,-122.4199061
Dallas,100,2019-12-09,32.7762719,-96.7968559
New York NY,53,2019-12-09,40.7127281,-74.0060152
Los Angeles CA,51,2019-12-16,34.0536909,-118.2427666
New York NY,36,2019-12-16,40.7127281,-74.0060152
Washington DC,100,2019-12-16,38.8948932,-77.0365529
Chicago IL,43,2019-12-23,41.8755616,-87.6244212
Dallas,45,2019-12-23,32.7762719,-96.7968559
Los Angeles CA,24,2019-12-23,34.0536909,-118.2427666
New York NY,18,2019-12-23,40.7127281,-74.0060152
San Francisco,100,2019-12-23,37.7790262,-122.4199061
