geoName,interest,date,lat,long
Sacramento,100,2019-03-04,38.5815719,-121.4943996
Albany GA,13,2019-03-11,51.7468576,-0.3383107
Albany,14,2019-03-11,42.6511674,-73.754968
Albuquerque,19,2019-03-11,35.0841034,-106.6509851
Amarillo TX,15,2019-03-11,35.2072185,-101.8338246
Anchorage AK,15,2019-03-11,61.2163129,-149.8948523
Atlanta GA,11,2019-03-11,33.7490987,-84.3901849
Augusta GA,17,2019-03-11,33.4709714,-81.9748429
Austin TX,20,2019-03-11,30.2711286,-97.7436995
Bakersfield CA,24,2019-03-11,35.3738712,-119.0194639
Baltimore MD,9,2019-03-11,39.2908816,-76.610759
Bangor ME,24,2019-03-11,29.0659229,-110.97133
Baton Rouge LA,17,2019-03-11,30.4459596,-91.18738
Beaumont,24,2019-03-11,30.0860459,-94.1018461
Bend OR,18,2019-03-11,44.0581728,-121.3153096
"Billings, MT",17,2019-03-11,45.7874957,-108.49607
Biloxi,18,2019-03-11,30.374673,-88.84594333482862
Binghamton NY,13,2019-03-11,42.096968,-75.914341
Birmingham AL,13,2019-03-11,33.570499,-86.765783
Bluefield,18,2019-03-11,37.2698395,-81.2223195
Boise ID,9,2019-03-11,43.6166163,-116.200886
Boston MA,18,2019-03-11,42.3602534,-71.0582912
Buffalo NY,15,2019-03-11,42.8867166,-78.8783922
Burlington VT,17,2019-03-11,44.4762975,-73.2135472
Butte,28,2019-03-11,39.6519275,-121.5858444
Cedar Rapids,13,2019-03-11,41.9758872,-91.6704053
Champaign,18,2019-03-11,40.1164205,-88.2433829
Charleston SC,12,2019-03-11,32.7876012,-79.9402728
Charleston,10,2019-03-11,32.7876012,-79.9402728
Charlotte NC,13,2019-03-11,35.2270869,-80.8431268
Charlottesville VA,31,2019-03-11,38.029306,-78.4766781
Chattanooga TN,16,2019-03-11,35.0457219,-85.3094883
Cheyenne WY,38,2019-03-11,45.2519491,-75.7306849
Chicago IL,14,2019-03-11,41.8755616,-87.6244212
Chico,21,2019-03-11,39.7284945,-121.8374777
Cincinnati OH,14,2019-03-11,39.1014537,-84.5124602
Clarksburg,21,2019-03-11,39.2806451,-80.3445341
