geoName,interest,date,lat,long
Albuquerque,82,2019-01-01,35.0841034,-106.6509851
Fresno,100,2019-01-01,36.7295295,-119.70886126075588
Los Angeles CA,7,2019-01-01,34.0536909,-118.2427666
Phoenix AZ,25,2019-01-01,33.4484367,-112.0741417
Biloxi,100,2019-01-07,30.374673,-88.84594333482862
Denver CO,5,2019-01-07,39.7348381,-104.9653271
El Paso TX,32,2019-01-07,31.7754152,-106.4646348
Monterey,42,2019-01-07,36.2231079,-121.3877428
Albuquerque,24,2019-01-14,35.0841034,-106.6509851
Boston MA,2,2019-01-14,42.3602534,-71.0582912
Dallas,2,2019-01-14,32.7762719,-96.7968559
Denver CO,4,2019-01-14,39.7348381,-104.9653271
El Paso TX,100,2019-01-14,31.7754152,-106.4646348
Las Vegas NV,8,2019-01-14,36.1672559,-115.1485163
Odessa,49,2019-01-14,46.4873195,30.7392776
Phoenix AZ,3,2019-01-14,33.4484367,-112.0741417
San Antonio TX,8,2019-01-14,29.4246002,-98.4951405
Albany,16,2019-01-21,42.6511674,-73.754968
Albuquerque,14,2019-01-21,35.0841034,-106.6509851
El Paso TX,100,2019-01-21,31.7754152,-106.4646348
Los Angeles CA,1,2019-01-21,34.0536909,-118.2427666
Philadelphia PA,3,2019-01-21,39.9527237,-75.1635262
Washington DC,2,2019-01-21,38.8948932,-77.0365529
Albuquerque,22,2019-01-28,35.0841034,-106.6509851
Charlotte NC,5,2019-01-28,35.2270869,-80.8431268
Chicago IL,1,2019-01-28,41.8755616,-87.6244212
Dallas,2,2019-01-28,32.7762719,-96.7968559
El Paso TX,100,2019-01-28,31.7754152,-106.4646348
Houston TX,2,2019-01-28,29.7589382,-95.3676974
Jacksonville FL,10,2019-01-28,30.3321838,-81.655651
Las Vegas NV,7,2019-01-28,36.1672559,-115.1485163
Los Angeles CA,1,2019-01-28,34.0536909,-118.2427666
Minneapolis,3,2019-01-28,44.9772995,-93.2654692
Phoenix AZ,3,2019-01-28,33.4484367,-112.0741417
Tucson,17,2019-01-28,32.2228765,-110.9748477
Austin TX,18,2019-02-04,30.2711286,-97.7436995
Charlotte NC,15,2019-02-04,35.2270869,-80.8431268
El Paso TX,100,2019-02-04,31.7754152,-106.4646348
Knoxville TN,46,2019-02-04,35.9603948,-83.9210261
Los Angeles CA,3,2019-02-04,34.0536909,-118.2427666
Memphis TN,36,2019-02-04,35.1490215,-90.0516285
Miami,10,2019-02-04,25.7742658,-80.1936589
Atlanta GA,5,2019-02-11,33.7490987,-84.3901849
Chicago IL,7,2019-02-11,41.8755616,-87.6244212
Dallas,4,2019-02-11,32.7762719,-96.7968559
Denver CO,8,2019-02-11,39.7348381,-104.9653271
El Paso TX,100,2019-02-11,31.7754152,-106.4646348
